IQ,RPM
36,1103
68,1099
7,1103
40,1103
49,1103
58,1103
43,1103
47,1103
43,1103
51,1101
54,1103
37,1101
40,1103
38,1103
41,1101
28,1103
39,1101
36,1101
38,1103
55,1101
30,1101
2,1101
83,1101
87,1101
77,1101
49,1101
41,1103
39,1101
34,1101
34,1101
35,1101
37,1103
22,1103
81,1103
30,1101
35,1103
31,1101
27,1101
31,1103
32,1103
47,1103
39,1101
49,1103
20,1103
78,1101
19,1101
43,1103
64,1103
50,1103
41,1103
49,1101
51,1103
28,1101
40,1103
24,1101
19,1103
26,1101
12,1103
29,1103
41,1101
39,1101
39,1103
38,1101
40,1103
49,1103
65,1103
51,1101
54,1101
56,1103
49,1101
45,1101
40,1101
14,1101
42,1107
28,1101
36,1103
37,1101
36,1101
31,1103
36,1103
32,1103
39,1103
48,1101
70,1109
90,1103
81,1101
54,1103
71,1101
47,1103
5,1101
40,1103
52,1103
40,1103
45,1101
5,1103
15,1101
25,1103
31,1101
33,1103
39,1103
28,1103
27,1101
34,1100
56,1103
51,1103
84,1101
41,1103
63,1103
19,1103
51,1103
49,1101
49,1101
40,1101
41,1101
34,1101
29,1101
28,1101
19,1103
30,1101
33,1101
31,1103
35,1103
46,1103
41,1101
39,1101
77,1101
66,1101
80,1103
78,1103
47,1101
45,1101
48,1101
49,1103
37,1101
41,1107
28,1101
29,1103
47,1103
36,1101
3,1111
50,1101
39,1101
35,1103
37,1101
33,1101
28,1101
15,1101
23,1101
80,1103
44,1101
55,1103
44,1103
41,1103
43,1101
46,1103
49,1104
31,1101
43,1101
46,1101
28,1103
40,1101
35,1101
47,1103
42,1101
41,1101
47,1103
59,1101
68,1103
66,1103
87,1103
64,1103
60,1103
44,1101
48,1101
43,1101
37,1103
24,1103
28,1103
36,1103
30,1101
37,1103
23,1101
35,1103
25,1103
38,1103
36,1103
46,1103
41,1101
55,1103
60,1101
23,1103
67,1101
50,1103
51,1103
41,1101
42,1103
39,1103
51,1101
53,1101
25,1101
32,1101
20,1101
28,1103
29,1103
33,1101
41,1101
47,1101
40,1101
57,1101
69,1101
44,1103
31,1103
19,1101
40,1101
50,1101
48,1101
47,1103
43,1103
33,1101
28,1101
7,1101
16,1101
38,1101
30,1103
36,1101
42,1103
41,1101
35,1101
47,1103
16,1103
51,1101
18,1103
80,1101
76,1103
40,1101
49,1103
45,1103
38,1101
41,1103
34,1103
46,1103
29,1103
32,1103
30,1103
37,1101
21,1103
27,1103
36,1101
42,1101
47,1103
60,1101
59,1101
66,1101
45,1103
67,1101
39,1101
49,1101
50,1101
49,1101
34,1103
34,1103
33,1101
23,1101
25,1103
34,1103
19,1103
37,1103
43,1101
36,1101
39,1101
47,1103
4,1104
25,1103
58,1101
25,1103
61,1101
63,1103
41,1103
43,1103
43,1101
49,1103
47,1101
56,1103
46,1101
34,1103
40,1103
27,1103
39,1101
28,1103
40,1101
37,1101
40,1101
51,1101
69,1101
89,1101
36,1103
42,1103
47,1103
41,1101
40,1103
38,1101
41,1101
47,1103
24,1103
23,1101
9,1101
40,1101
5,1103
39,1103
33,1101
41,1103
48,1101
48,1101
56,1103
63,1101
40,1101
62,1101
33,1101
43,1103
49,1101
58,1101
40,1103
49,1103
37,1103
24,1101
24,1103
35,1101
58,1101
36,1103
39,1103
33,1101
40,1101
38,1101
30,1101
41,1101
45,1101
48,1101
86,1101
46,1103
45,1101
41,1101
36,1101
37,1101
33,1103
28,1101
58,1101
61,1101
34,1101
32,1101
18,1103
31,1103
29,1101
33,1103
38,1103
39,1101
77,1103
29,1101
80,1103
46,1101
41,1101
52,1103
45,1103
43,1103
54,1101
41,1101
34,1101
24,1101
15,1101
66,1103
3,1101
48,1101
47,1103
39,1103
38,1103
34,1103
50,1103
28,1103
51,1101
72,1101
34,1103
47,1103
69,1103
48,1101
47,1101
32,1101
24,1101
31,1101
36,1101
30,1101
31,1101
36,1101
37,1101
24,1101
34,1101
29,1101
32,1103
12,1104
64,1101
82,1101
79,1103
81,1103
32,1101
42,1101
36,1103
48,1101
43,1103
32,1103
41,1101
40,1101
39,1103
35,1101
