IQ,RPM
39,898
37,900
36,898
39,898
42,898
56,898
75,898
60,898
97,898
64,898
86,898
47,900
55,898
42,898
26,900
38,900
32,898
32,898
27,898
23,898
30,900
6,900
34,900
15,898
27,898
22,898
23,900
35,898
36,900
41,898
32,900
57,898
56,898
69,898
26,898
1,900
25,900
50,900
32,900
56,898
37,898
41,900
39,898
41,898
37,898
24,898
31,898
16,898
22,898
12,898
21,898
21,898
35,898
32,889
36,893
42,898
47,898
60,898
78,898
26,898
56,898
71,898
66,901
43,898
34,898
40,898
38,898
38,897
34,898
55,898
22,900
11,898
53,900
18,898
24,898
59,898
28,898
31,898
30,898
36,900
35,898
38,898
60,900
51,898
66,898
74,898
79,898
82,898
38,900
47,898
49,894
41,898
43,898
39,898
33,898
27,898
33,898
25,898
7,900
19,898
16,898
11,900
20,898
25,898
29,900
39,898
43,901
55,898
57,898
50,898
17,898
57,894
31,900
72,898
21,898
51,900
42,898
40,897
47,898
27,898
42,898
28,898
5,900
38,898
24,898
13,898
41,900
18,898
39,898
32,900
41,898
29,897
33,900
66,898
54,898
65,898
73,898
80,898
71,898
28,898
49,898
42,898
38,898
41,898
34,898
32,898
35,900
32,898
11,898
39,898
25,898
27,898
10,900
17,898
32,897
37,900
28,898
38,898
39,898
36,898
64,898
34,900
34,898
47,898
54,898
47,900
51,898
41,898
41,898
43,898
41,898
49,898
23,900
38,898
25,898
24,898
10,898
2,898
14,900
29,898
39,898
32,897
34,898
41,898
56,898
62,898
69,898
26,898
72,898
47,898
80,900
34,900
50,898
48,898
34,898
32,900
20,900
34,900
31,898
35,898
4,898
17,898
23,900
27,898
33,898
23,898
22,898
37,900
36,900
32,898
37,900
58,898
89,897
82,898
32,900
59,894
51,898
37,900
49,898
35,898
39,898
34,898
33,898
13,898
33,900
6,898
15,898
1,898
10,898
20,898
9,898
32,900
41,898
35,898
44,900
23,898
57,898
51,898
60,898
66,898
55,898
72,898
56,900
51,898
48,898
43,900
42,898
38,900
33,898
28,898
33,898
13,900
24,898
22,898
50,900
38,898
21,898
32,898
36,898
30,898
26,900
39,898
51,898
17,898
73,898
56,898
47,900
33,898
52,900
42,898
40,898
30,898
34,898
33,898
34,898
28,898
30,898
1,898
9,898
18,898
28,898
22,898
31,898
26,898
31,898
36,900
46,898
57,900
38,898
90,898
43,898
63,898
77,900
55,898
5,898
41,897
46,898
38,898
43,898
33,898
34,898
33,900
25,900
48,898
34,898
16,898
16,898
29,898
33,898
38,900
41,898
37,898
47,898
57,898
73,898
75,897
80,898
9,898
75,898
34,898
61,898
48,898
43,898
38,898
27,898
16,898
19,898
20,898
14,898
32,900
22,900
27,898
21,898
40,898
25,898
36,900
41,898
41,898
57,898
36,900
78,898
44,898
72,898
15,898
53,900
46,898
42,900
40,898
39,898
40,898
33,900
24,898
41,898
30,898
30,898
14,898
21,898
4,898
39,898
32,898
35,898
32,900
41,898
40,898
67,898
73,898
58,900
27,898
87,898
79,898
47,898
45,898
41,898
33,898
34,897
41,898
33,898
36,900
19,898
22,900
23,898
52,897
26,898
38,897
32,900
24,897
35,900
20,898
41,900
47,900
46,900
86,898
66,898
64,898
63,898
63,898
62,898
44,898
41,898
40,898
39,898
33,898
34,897
31,898
29,898
14,898
24,898
2,898
32,898
33,898
14,898
25,898
26,898
29,900
39,900
58,897
76,898
84,898
60,900
80,900
55,898
70,898
58,898
49,898
35,898
52,898
40,898
34,898
41,898
21,900
15,898
22,898
27,898
16,898
34,898
29,900
32,898
37,900
36,898
58,900
40,898
46,900
68,898
54,898
1,898
16,900
88,900
47,898
51,898
47,898
35,898
33,898
37,900
33,898
28,898
28,898
26,900
15,898
28,898
32,898
33,898
31,898
31,898
30,898
30,900
39,900
48,898
48,898
46,900
82,898
33,898
76,898
67,898
53,898
42,898
41,898
35,900
40,898
40,897
25,900
32,898
20,898
23,898
8,898
27,898
32,898
33,898
39,898
32,898
31,898
38,901
40,898
26,898
72,898
69,898
82,898
72,898
79,900
88,898
46,898
41,898
50,893
43,898
37,898
21,897
32,898
15,898
15,898
15,898
34,900
33,898
47,900
39,898
46,900
39,900
40,898
35,898
47,900
62,898
28,898
81,897
41,898
86,898
25,900
119,898
34,898
47,898
35,898
33,898
39,898
