IQ,RPM
57,803
49,803
70,803
14,804
33,804
31,804
36,803
39,803
28,803
32,804
31,804
47,804
9,803
30,803
6,803
41,803
22,803
33,803
11,804
42,804
33,804
43,803
42,803
37,803
49,804
60,804
65,801
32,803
74,803
88,803
63,804
82,804
58,803
41,803
60,804
29,804
31,804
38,804
30,803
22,803
26,803
32,803
52,801
40,803
10,803
43,804
11,804
34,804
33,803
43,803
33,803
43,804
43,804
58,803
50,804
69,803
67,804
58,804
80,804
54,803
50,803
14,804
39,804
46,803
35,804
40,803
34,803
39,803
43,804
30,804
13,799
23,808
24,804
11,804
47,804
34,804
32,803
34,803
47,804
38,804
47,803
52,803
50,803
79,804
61,804
58,804
64,803
57,803
33,803
46,804
44,804
39,804
39,803
36,804
36,804
33,804
31,803
29,804
32,803
36,803
15,803
25,803
39,803
51,803
34,804
42,803
40,803
24,803
39,803
46,804
34,804
39,803
39,803
67,803
67,804
72,804
62,804
56,804
48,803
33,803
39,804
39,804
36,804
39,804
1,803
25,804
23,803
47,803
4,803
24,803
41,804
38,804
47,803
39,804
33,804
36,803
43,804
41,804
45,804
49,803
61,804
61,803
80,803
51,804
64,803
39,807
50,803
42,804
39,803
54,803
29,803
36,803
30,804
31,803
32,804
11,804
27,804
40,804
24,803
27,803
23,803
34,804
42,804
25,804
28,804
39,804
38,804
47,803
41,804
20,803
65,804
43,803
57,804
39,803
63,804
50,803
50,803
39,803
37,803
26,804
30,805
23,804
31,804
37,804
19,803
33,803
39,803
16,803
18,804
42,804
34,803
32,803
48,804
37,803
34,803
39,803
34,803
61,804
27,803
47,803
14,804
64,803
54,804
42,804
46,804
39,804
39,804
45,804
35,812
38,804
33,804
32,803
21,803
46,803
46,804
1,804
56,804
13,803
29,803
41,803
33,803
43,804
51,804
33,804
45,805
57,804
37,803
39,804
40,799
47,803
56,803
59,804
36,804
42,804
40,805
38,803
29,804
31,803
34,804
23,803
22,803
4,804
14,803
7,803
8,803
42,804
41,803
38,804
43,804
33,804
32,803
44,804
34,804
41,804
50,804
52,803
79,804
76,803
65,804
55,803
69,804
54,803
41,803
31,803
39,803
41,803
37,804
37,804
23,804
17,804
44,803
29,803
24,804
48,804
18,804
33,804
13,804
42,804
35,803
40,803
47,803
41,815
50,803
50,804
70,803
61,803
67,803
72,803
64,803
60,803
55,803
39,804
31,804
39,804
34,804
35,803
33,804
22,803
23,804
32,804
30,801
24,804
43,803
31,803
20,804
34,803
58,804
45,803
32,804
42,804
45,804
41,803
63,803
47,803
72,803
58,803
64,803
49,803
56,803
39,804
24,805
52,804
39,803
31,803
39,803
24,804
34,804
27,804
19,803
24,803
32,803
25,804
57,803
59,802
34,804
25,804
24,804
39,804
41,804
43,804
58,803
38,803
60,804
76,804
25,803
40,804
39,804
50,804
81,804
39,803
34,803
39,803
27,803
37,803
39,803
30,803
32,803
27,803
24,804
8,804
30,804
10,804
17,803
58,804
49,803
50,804
48,803
46,803
42,804
27,804
27,803
80,804
25,803
64,811
55,803
66,804
68,804
50,804
39,803
45,803
36,803
23,803
31,803
23,804
3,804
23,804
37,804
40,804
5,804
37,803
14,803
43,803
25,804
36,804
34,804
42,803
41,803
41,801
45,803
60,804
47,804
58,804
56,803
70,803
56,803
39,804
40,804
31,803
29,801
36,803
30,804
23,804
34,804
18,803
38,803
7,803
16,803
36,803
38,803
34,803
34,804
26,804
35,803
33,803
50,803
47,803
48,804
32,803
65,803
61,803
57,803
71,803
27,804
32,803
50,803
47,804
53,804
38,804
36,804
32,803
23,803
28,803
27,803
14,804
15,804
25,804
15,804
33,803
41,804
34,803
41,803
38,804
43,804
43,804
42,804
41,804
80,803
52,803
64,803
56,804
71,803
51,804
49,804
33,804
39,803
25,804
36,803
35,803
32,803
32,804
23,804
18,804
45,804
40,804
25,804
28,804
14,804
34,804
33,804
36,804
41,804
39,804
44,803
57,803
50,803
65,804
60,804
65,803
63,803
71,803
50,803
45,803
21,804
32,803
50,804
36,804
36,804
24,804
34,804
23,804
38,804
31,804
8,803
36,803
23,804
21,803
50,803
34,803
50,803
44,803
38,803
22,805
30,801
61,803
60,803
58,803
72,804
72,803
35,803
59,803
33,804
40,804
34,804
43,804
36,804
37,803
40,804
32,803
45,803
21,803
14,804
58,803
12,804
47,803
43,804
34,803
34,803
41,804
34,804
41,804
48,804
51,803
34,803
52,804
58,803
56,803
63,803
58,803
27,804
34,804
39,803
39,803
41,803
33,803
28,803
32,791
26,804
27,803
18,803
32,803
9,804
31,804
38,804
41,803
33,804
29,804
41,801
39,804
41,804
65,804
58,804
91,804
70,803
58,804
64,803
133,804
32,804
38,801
57,803
47,803
35,804
36,804
35,803
23,803
22,801
30,804
52,803
31,804
16,804
44,804
41,804
43,804
41,804
18,804
50,803
43,803
35,803
44,803
49,803
27,803
74,803
37,803
64,804
56,804
63,803
36,803
41,804
65,804
32,804
24,804
29,804
25,803
23,808
13,804
22,804
29,804
15,804
33,804
18,803
19,803
37,803
42,803
46,803
35,804
34,804
40,804
48,804
51,804
52,804
61,803
67,803
88,804
23,803
48,803
46,804
24,804
47,803
41,803
35,803
38,804
33,804
38,804
112,804
32,803
7,803
