IQ,RPM
41,1101
36,1101
49,1101
78,1101
60,1101
53,1101
95,1101
76,1101
47,1101
71,1101
59,1101
52,1101
65,1103
57,1101
46,1101
57,1104
55,1101
44,1101
64,1101
54,1101
63,1101
59,1101
70,1101
64,1101
60,1101
82,1101
124,1101
88,1101
95,1101
65,1101
66,1101
78,1101
68,1101
65,1101
65,1100
52,1101
43,1101
71,1101
12,1101
63,1101
69,1101
55,1101
66,1101
66,1101
60,1101
62,1101
78,1101
84,1101
112,1101
87,1101
47,1101
61,1101
64,1101
63,1101
62,1101
72,1101
61,1101
66,1100
55,1101
58,1101
64,1101
69,1101
40,1101
47,1101
55,1101
61,1101
84,1101
91,1101
78,1101
73,1101
53,1101
55,1101
51,1101
71,1101
63,1101
54,1101
49,1101
46,1101
34,1101
32,1101
37,1101
59,1101
36,1101
33,1101
32,1101
41,1101
56,1101
68,1103
73,1107
73,1100
72,1101
42,1101
52,1101
58,1101
53,1101
51,1101
41,1103
42,1101
36,1101
29,1101
81,1101
27,1101
43,1101
37,1101
45,1101
45,1100
41,1101
56,1101
54,1101
68,1101
67,1101
102,1101
100,1101
66,1101
57,1101
55,1101
54,1101
56,1101
71,1101
74,1101
31,1101
49,1101
43,1101
44,1099
45,1101
57,1101
58,1101
65,1101
79,1101
75,1101
102,1101
90,1101
85,1101
104,1101
70,1101
81,1101
68,1101
72,1101
67,1101
79,1101
60,1101
55,1101
49,1103
66,1101
49,1103
63,1101
66,1101
65,1101
65,1101
63,1101
63,1101
59,1101
97,1101
80,1101
120,1101
77,1101
73,1101
63,1101
61,1101
59,1101
57,1095
69,1101
49,1101
48,1101
54,1101
56,1101
55,1101
50,1101
49,1101
63,1101
63,1101
86,1101
74,1101
90,1101
9,1101
59,1101
55,1101
58,1101
71,1103
51,1101
49,1101
50,1101
28,1101
2,1101
25,1101
5,1101
55,1101
30,1101
44,1101
50,1101
43,1103
38,1103
38,1103
69,1101
41,1101
102,1104
61,1101
61,1101
55,1101
45,1101
56,1101
33,1101
46,1101
44,1101
37,1101
61,1101
83,1101
48,1101
39,1101
45,1101
41,1101
54,1101
48,1101
77,1101
60,1101
96,1101
92,1101
60,1101
61,1101
55,1101
51,1101
56,1101
65,1101
68,1101
57,1101
47,1101
59,1101
59,1101
53,1101
55,1101
59,1101
60,1101
64,1101
81,1101
88,1101
87,1101
64,1101
71,1101
74,1101
77,1101
65,1101
66,1101
59,1103
49,1101
50,1101
43,1101
39,1101
76,1103
34,1101
61,1101
63,1108
66,1101
58,1101
58,1101
82,1101
95,1101
84,1099
104,1101
128,1101
61,1101
58,1101
78,1101
65,1101
56,1101
72,1101
52,1101
28,1101
54,1101
51,1101
49,1101
57,1101
55,1101
46,1101
55,1101
56,1101
108,1103
26,1101
94,1101
57,1101
59,1101
56,1101
51,1101
64,1101
53,1101
62,1101
57,1097
43,1101
57,1101
8,1101
37,1101
46,1101
34,1101
41,1101
41,1101
45,1101
48,1101
68,1101
82,1101
82,1101
56,1101
63,1101
112,1101
50,1101
47,1101
47,1101
45,1101
41,1101
28,1101
58,1101
55,1101
47,1103
47,1101
27,1101
40,1101
36,1101
49,1101
55,1101
60,1101
93,1101
66,1101
86,1101
83,1101
55,1101
49,1100
50,1101
52,1101
56,1101
70,1101
34,1101
56,1101
40,1101
69,1101
43,1103
45,1101
51,1101
59,1101
68,1101
87,1101
95,1101
97,1101
106,1101
94,1101
96,1101
111,1101
66,1101
72,1101
71,1101
61,1101
49,1100
52,1101
40,1100
55,1101
55,1101
60,1101
60,1101
71,1101
67,1101
68,1101
56,1101
